"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8747","User Registration Test","chromium","2026-05-20","passed","2026-05-20","","AccountRegistration.spec.ts","",""
"","12101","User Login Test @master @sanity @regression","chromium","2026-05-28","passed","2026-05-28","","Login.spec.ts","",""
"","3581","Login Test with JSON Data: Invalid login @datadriven","chromium","2026-05-22","passed","2026-05-22","","LoginDataDriven.spec.ts","",""
"","11013","Add Product to Cart @master @regression","chromium","2026-05-22","passed","2026-05-22","","AddToCart.spec.ts","",""
"","11423","User Logout Test @master @regresion","chromium","2026-05-22","passed","2026-05-22","","Logout.spec.ts","",""
"","4146","Login Test with JSON Data: Valid login @datadriven","chromium","2026-05-22","passed","2026-05-22","","LoginDataDriven.spec.ts","",""
"","5785","User Login Test","chromium","2026-05-20","passed","2026-05-20","","Login.spec.ts","",""
"","4822","Login Test with CSV Data: Valid login @datadriven","chromium","2026-05-22","passed","2026-05-22","","LoginDataDriven.spec.ts","",""
"","3505","Serach Pruducts test @@master @regression","chromium","2026-05-22","passed","2026-05-22","","SearchProducts.spec.ts","",""
"","3747","Login Test with CSV Data: Invalid login @datadriven","chromium","2026-05-22","passed","2026-05-22","","LoginDataDriven.spec.ts","",""
"","14870","User Registration Test @master @sanity @regression","chromium","2026-05-28","passed","2026-05-28","","AccountRegistration.spec.ts","",""
"","13674","Execue End-to-End flow @end-to-end","chromium","2026-05-22","passed","2026-05-22","","EndToEndTest.spec.ts","",""
